Title,Description,Date,Company
"Taking Stock: Sensex, Nifty end flat amid Hindenburg allegations; smallcaps outperform","Hero MotoCorp, Axis Bank, ONGC, Infosys and JSW Steel were among the major gainers on the Nifty, while losers included NTPC, Britannia Industries, Adani Ports, SBI, and Dr Reddy's Labs. 
",08/14/2024,infosys
Market Meltdown: Top firms lose Rs 1.66 lakh crore; Reliance and LIC hit hardest,"State Bank of India saw its market value diminish by Rs 21,151.33 crore, bringing its total to Rs 7,35,566.52 crore. Infosys and Tata Consultancy Services (TCS) followed with declines of Rs 20,973.19 crore and Rs 19,157.77 crore, respectively, resulting in valuations of Rs 7,35,277.28 crore and Rs 15,30,469.11 crore. 
",08/14/2024,"tata consultancy services, infosys"
"Taking Stock: Market bounces back; Sensex rises 820 pts, Nifty above 24,350","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divi's Labs and Sun Pharma. 
",08/14/2024,tech mahindra
"Nifty, Sensex rally as better-than-expected US job data eases recessionary fears; India VIX down 7%","Nifty IT was the brightest spark on the bourses, rising almost 2 percent backed by gains in Tech Mahindra, HCL Tech, and LTIMindtree. 
",08/14/2024,"hcl technologies, ltimindtree, tech mahindra"
"Closing Bell: Sensex gains 820 pts, Nifty above 24,350; all sectors in the green","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divis Labs and Sun Pharma. All the sectoral indices are trading in the green with auto, capital goods, IT, power, realty, PSU Bank and media up 1-2 percent. Broader indices performed in line with main indices. BSE Midcap index up 1 percent and Smallcap index up 0.8 percent. 
",08/14/2024,tech mahindra
"Nifty, Sensex end lower as RBI maintains hawkish tone; IT, metal indices dampen sentiment","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty on August 8 
",08/14/2024,"infosys, ltimindtree"
"Closing Bell: Nifty below 24,150, Sensex down 582 pts after RBI keep rates unchanged","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty, while gainers included HDFC Life, Tata Motors, SBI Life Insurance, HDFC Bank and Cipla. On the sectoral front, except pharma, healthcare and media, all other indices ended in the red with metal, realty, oil & gas, information technology down 1-2 percent.  BSE Midcap index was down 0.4 percent and Smallcap index ended flat. 
",08/14/2024,"infosys, ltimindtree"
"Taking Stock: Market snaps 3-day losing streak, Nifty closes near 24,300; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. 
",08/14/2024,"wipro technologies, tech mahindra"
Buy Tech Mahindra; target of Rs 1645: Geojit Financial Services,"Geojit Financial Services is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1645 in its research report dated August 07, 2024. 
",08/14/2024,tech mahindra
"Nifty, Sensex rebound, snap 3-day losing streak amid positive global cues","Britannia Industries, HCL Tech, Hero MotoCorp, Wipro and HUL were the top gainers on the Nifty. 
",08/14/2024,"wipro technologies, hcl technologies"
"Closing Bell: Nifty at 24,300, Sensex gains 875 pts; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. All the sectoral indices ended in the green with metal, healthcare, media, power, telecom, oil & gas, capital goods up 2-3 percent. BSE Midcap index and Smallcap index up more 2 percent each. 
",08/14/2024,"wipro technologies, tech mahindra"
"Taking Stock: Market fails to hold gains; Nifty closes below 24,000, Sensex down 126 pts","HDFC Life, SBI Life Insurance, Shriram Finance, BPCL and SBI were among the top Nifty losers, while gainers included Britannia Industries, JSW Steel, HUL, L&T and Tech Mahindra. 
",08/14/2024,tech mahindra
